Algoritmo;Threads;Input_Expressao;Repeticao;Tempo;Expressao_Encontrada;Literais
Sequencial;1;0;1;ERRO;N/A;N/A
Sequencial;1;0;2;ERRO;N/A;N/A
Sequencial;1;0;3;ERRO;N/A;N/A
Sequencial;1;0;4;ERRO;N/A;N/A
Sequencial;1;0;5;ERRO;N/A;N/A
Sequencial;1;0;6;ERRO;N/A;N/A
Sequencial;1;0;7;ERRO;N/A;N/A
Sequencial;1;0;8;ERRO;N/A;N/A
Sequencial;1;0;9;ERRO;N/A;N/A
Sequencial;1;0;10;ERRO;N/A;N/A
Sequencial;1;0;11;ERRO;N/A;N/A
Sequencial;1;0;12;ERRO;N/A;N/A
Sequencial;1;0;13;ERRO;N/A;N/A
Sequencial;1;0;14;ERRO;N/A;N/A
Sequencial;1;0;15;ERRO;N/A;N/A
Sequencial;1;0;16;ERRO;N/A;N/A
Sequencial;1;0;17;ERRO;N/A;N/A
Sequencial;1;0;18;ERRO;N/A;N/A
Sequencial;1;0;19;ERRO;N/A;N/A
Sequencial;1;0;20;ERRO;N/A;N/A
Paralelo;1;0;1;ERRO;N/A;N/A
Paralelo;1;0;2;ERRO;N/A;N/A
Paralelo;1;0;3;ERRO;N/A;N/A
Paralelo;1;0;4;ERRO;N/A;N/A
Paralelo;1;0;5;ERRO;N/A;N/A
Paralelo;1;0;6;ERRO;N/A;N/A
Paralelo;1;0;7;ERRO;N/A;N/A
Paralelo;1;0;8;ERRO;N/A;N/A
Paralelo;1;0;9;ERRO;N/A;N/A
Paralelo;1;0;10;ERRO;N/A;N/A
Paralelo;1;0;11;ERRO;N/A;N/A
Paralelo;1;0;12;ERRO;N/A;N/A
Paralelo;1;0;13;ERRO;N/A;N/A
Paralelo;1;0;14;ERRO;N/A;N/A
Paralelo;1;0;15;ERRO;N/A;N/A
Paralelo;1;0;16;ERRO;N/A;N/A
Paralelo;1;0;17;ERRO;N/A;N/A
Paralelo;1;0;18;ERRO;N/A;N/A
Paralelo;1;0;19;ERRO;N/A;N/A
Paralelo;1;0;20;ERRO;N/A;N/A
Paralelo;2;0;1;ERRO;N/A;N/A
Paralelo;2;0;2;ERRO;N/A;N/A
Paralelo;2;0;3;ERRO;N/A;N/A
Paralelo;2;0;4;ERRO;N/A;N/A
Paralelo;2;0;5;ERRO;N/A;N/A
Paralelo;2;0;6;ERRO;N/A;N/A
Paralelo;2;0;7;ERRO;N/A;N/A
Paralelo;2;0;8;ERRO;N/A;N/A
Paralelo;2;0;9;ERRO;N/A;N/A
Paralelo;2;0;10;ERRO;N/A;N/A
Paralelo;2;0;11;ERRO;N/A;N/A
Paralelo;2;0;12;ERRO;N/A;N/A
Paralelo;2;0;13;ERRO;N/A;N/A
Paralelo;2;0;14;ERRO;N/A;N/A
Paralelo;2;0;15;ERRO;N/A;N/A
Paralelo;2;0;16;ERRO;N/A;N/A
Paralelo;2;0;17;ERRO;N/A;N/A
Paralelo;2;0;18;ERRO;N/A;N/A
Paralelo;2;0;19;ERRO;N/A;N/A
Paralelo;2;0;20;ERRO;N/A;N/A
Paralelo;4;0;1;ERRO;N/A;N/A
Paralelo;4;0;2;ERRO;N/A;N/A
Paralelo;4;0;3;ERRO;N/A;N/A
Paralelo;4;0;4;ERRO;N/A;N/A
Paralelo;4;0;5;ERRO;N/A;N/A
Paralelo;4;0;6;ERRO;N/A;N/A
Paralelo;4;0;7;ERRO;N/A;N/A
Paralelo;4;0;8;ERRO;N/A;N/A
Paralelo;4;0;9;ERRO;N/A;N/A
Paralelo;4;0;10;ERRO;N/A;N/A
Paralelo;4;0;11;ERRO;N/A;N/A
Paralelo;4;0;12;ERRO;N/A;N/A
Paralelo;4;0;13;ERRO;N/A;N/A
Paralelo;4;0;14;ERRO;N/A;N/A
Paralelo;4;0;15;ERRO;N/A;N/A
